Organization_Site,Country,Data_type,Data_level,Age_range_low,Age_range_high,Numerator,Denominator,Percent,Estimates,TB_Type1,TB_Type2,TB_Type3,TB_Type4,Gender,Population1,Population2,Population3,CDR,Comments,Data_Year_Min,Data_Year_Max,Data_source
"International Centre for Diarrhoeal Diseases Research (ICDDR,B Matlab)",Bangladesh,TB prevalence,Site,15,100,101,106000,0.00095,,SS+,,,,Both,Community,,,,"
  ",2013,2013,"
iccdr,b proposal"
"International Centre for Diarrhoeal Diseases Research (ICDDR,B Matlab)",Bangladesh,TB prevalence,Site,0,12,0,220000,0,,SS+,,,,Both,Community,,,,"
  ",2011,2011,"
iccdr,b proposal"
"International Centre for Diarrhoeal Diseases Research (ICDDR,B Matlab)",Bangladesh,TB prevalence,Site,12,18,6,220000,0.00003,,SS+,,,,Both,Community,,,,"
  ",2011,2011,"
iccdr,b proposal"
"International Centre for Diarrhoeal Diseases Research (ICDDR,B Matlab)",Bangladesh,TB prevalence,Site,19,44,30,220000,0.00014,,SS+,,,,Both,Community,,,,"
  ",2011,2011,"
iccdr,b proposal"
"International Centre for Diarrhoeal Diseases Research (ICDDR,B Matlab)",Bangladesh,TB prevalence,Site,45,100,44,220000,0.0002,,SS+,,,,Both,Community,,,,"
  ",2011,2011,"
iccdr,b proposal"
"International Centre for Diarrhoeal Diseases Research (ICDDR,B Matlab)",Bangladesh,TB prevalence,Site,0,100,80,220000,0.00036,,SS+,,,,Both,Community,,,,"
  ",2011,2011,"
iccdr,b proposal"
"International Centre for Diarrhoeal Diseases Research (ICDDR,B Matlab)",Bangladesh,TB prevalence,Site,0,12,0,116377,0,,SS+,,,,Both,Community,,,,"
  ",2012,2012,"
iccdr,b proposal"
"International Centre for Diarrhoeal Diseases Research (ICDDR,B Matlab)",Bangladesh,TB prevalence,Site,12,18,3,116377,0.00003,,SS+,,,,Both,Community,,,,"
  ",2012,2012,"
iccdr,b proposal"
"International Centre for Diarrhoeal Diseases Research (ICDDR,B Matlab)",Bangladesh,TB prevalence,Site,19,44,29,116377,0.00025,,SS+,,,,Both,Community,,,,"
  ",2012,2012,"
iccdr,b proposal"
"International Centre for Diarrhoeal Diseases Research (ICDDR,B Matlab)",Bangladesh,TB prevalence,Site,45,100,43,116377,0.00037,,SS+,,,,Both,Community,,,,"
  ",2012,2012,"
iccdr,b proposal"
"International Centre for Diarrhoeal Diseases Research (ICDDR,B Matlab)",Bangladesh,TB prevalence,Site,0,12,0,220000,0,,SS+,,,,Both,Community,,,,"
  ",2013,2013,"
iccdr,b proposal"
"International Centre for Diarrhoeal Diseases Research (ICDDR,B Matlab)",Bangladesh,TB prevalence,Site,12,18,5,220000,0.00002,,SS+,,,,Both,Community,,,,"
  ",2013,2013,"
iccdr,b proposal"
"International Centre for Diarrhoeal Diseases Research (ICDDR,B Matlab)",Bangladesh,TB prevalence,Site,19,44,32,220000,0.00015,,SS+,,,,Both,Community,,,,"
  ",2013,2013,"
iccdr,b proposal"
"International Centre for Diarrhoeal Diseases Research (ICDDR,B Matlab)",Bangladesh,TB prevalence,Site,45,100,49,220000,0.00022,,SS+,,,,Both,Community,,,,"
  ",2013,2013,"
iccdr,b proposal"
"International Centre for Diarrhoeal Diseases Research (ICDDR,B Matlab)",Bangladesh,TB prevalence,Site,0,100,75,116377,0.00064,,SS+,,,,Both,Community,,,,"
  ",2012,2012,"
iccdr,b proposal"
"International Centre for Diarrhoeal Diseases Research (ICDDR,B Matlab)",Bangladesh,TB prevalence,Site,0,100,86,220000,0.00039,,SS+,,,,Both,Community,,,,"
  ",2013,2013,"
iccdr,b proposal"
"International Centre for Diarrhoeal Diseases Research (ICDDR,B Matlab)",Bangladesh,TB prevalence,Site,0,12,0,220000,0,,SS+,,,,Both,Community,,,,"
  ",2014,2014,"
iccdr,b proposal"
"International Centre for Diarrhoeal Diseases Research (ICDDR,B Matlab)",Bangladesh,TB prevalence,Site,12,18,2,220000,0.00001,,SS+,,,,Both,Community,,,,"
  ",2014,2014,"
iccdr,b proposal"
"International Centre for Diarrhoeal Diseases Research (ICDDR,B Matlab)",Bangladesh,TB prevalence,Site,19,44,18,220000,0.00008,,SS+,,,,Both,Community,,,,"
  ",2014,2014,"
iccdr,b proposal"
"International Centre for Diarrhoeal Diseases Research (ICDDR,B Matlab)",Bangladesh,TB prevalence,Site,45,100,30,220000,0.00014,,SS+,,,,Both,Community,,,,"
  ",2014,2014,"
iccdr,b proposal"
"International Centre for Diarrhoeal Diseases Research (ICDDR,B Matlab)",Bangladesh,TB prevalence,Site,0,100,50,220000,0.00023,,SS+,,,,Both,Community,,,,"
  ",2014,2014,"
iccdr,b proposal"
Johnson County Clin-Trials,United States of America,HIV prevalence,Site,25,39,0,44,0,,,,,,Both,Trial (clinical),,,,,2012,2013,"
IDRI- TBVPX- 113
"
Johnson County Clin-Trials,United States of America,LTBI prevalence - IGRA,Site,25,39,5,44,0.11364,,,,,,Both,Trial (clinical),,,,"
31.83 yo is mean age of infection",2012,2013,"
IDRI- TBVPX- 113"
JOSHA Research,South Africa,HIV incidence,Site,0,100,,,0.055,,,,,,Both,Community,,,,,2012,2012,"
TB018 presentation"
JOSHA Research,South Africa,HIV incidence,Site,18,100,,,0.1275,,,,,,Both,HIV- population,,,,,2012,2012,"
TB018 presentation"
JOSHA Research,South Africa,HIV prevalence,Site,0,100,,,0.212,,,,,,Both,Community,,,,,2012,2012,"
TB018 presentation"
JOSHA Research,South Africa,TB incidence,Site,0,100,19600,2000000,0.0098,Numerator estimated from percent and denominator,,,,,Both,Community,,,,"
10% increase in incidence per year",2010,2010,"
TB018 presentation"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,HIV prevalence,District,0,100,,,0.75,,,,,,Both,TB patients (notified cases),,,,"
In Nyanza",2012,2012,"
NTM presentation"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,HIV prevalence,Site,12,18,19,1235,0.01538,,,,,,Both,Community,,,,,2012,2012,"
NTM presentation"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,HIV prevalence,Site,0,0,75,2900,0.02586,,,,,,Both,Community,,,,,2012,2012,"
NTM presentation/ICS"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,HIV prevalence,District,0,100,3294147,4392196,0.75,,,,,,Both,TB patients (notified cases),,,,"
  ",2012,2012,"
NTM presentation"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,HIV prevalence,Site,12,18,19,1235,0.01538,,,,,,Both,Community,,,,,2012,2012,"
NTM presentation/ACS"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,HIV prevalence,Site,0,0,0,885,0,,,,,,Both,Trial (clinical),,,,,2010,2012,"
C-029-402"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,HIV prevalence,Site,18,52,62,531,0.11676,,,,,,Both,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,HIV prevalence,Site,18,52,34,295,0.11525,,,,,,Male only,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,HIV prevalence,Site,18,52,43,397,0.10831,,,,,,Female only,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,HIV prevalence,Site,18,22,4,78,0.05128,,,,,,Both,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,HIV prevalence,Site,23,27,16,126,0.12698,,,,,,Both,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,HIV prevalence,Site,28,32,18,111,0.16216,,,,,,Both,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,HIV prevalence,Site,33,37,7,75,0.09333,,,,,,Both,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,HIV prevalence,Site,38,42,10,66,0.15152,,,,,,Both,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,HIV prevalence,Site,43,47,5,49,0.10204,,,,,,Both,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,HIV prevalence,Site,48,52,2,26,0.07692,,,,,,Both,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,LTBI incidence - TST,Site,12,18,1671,3648,0.45806,,,,,,Both,Students,,,,"
TST induration => 10 mm; TST at 1 year follow-up",2010,2010,"
KEMRI ACS"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,LTBI incidence - TST,Site,12,12,351,868,0.40438,,,,,,Both,Students,,,,"
TST induration => 10mm; TST at 1 year follow-up",2010,2010,"
KEMRI ACS"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,LTBI incidence - TST,Site,13,13,309,734,0.42098,,,,,,Both,Students,,,,"
TST induration => 10 mm; TST at 1 year follow-up",2010,2010,"
KEMRI ACS"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,LTBI incidence - TST,Site,14,14,295,659,0.44765,,,,,,Both,Students,,,,"
TST induration => 10 mm; TST at 1 year follow-up",2010,2010,"
KEMRI ACS"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,LTBI incidence - TST,Site,15,15,273,514,0.53113,,,,,,Both,Students,,,,"
TST induration => 10 mm; TST at 1 year follow-up",2010,2010,"
KEMRI ACS"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,LTBI incidence - TST,Site,16,16,219,434,0.50461,,,,,,Both,Students,,,,"
TST induration => 10 mm; TST at 1 year follow-up",2010,2010,"
KEMRI ACS"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,LTBI incidence - TST,Site,17,17,145,280,0.51786,,,,,,Both,Students,,,,"
TST induration => 10 mm; TST at 1 year follow-up",2010,2010,"
KEMRI ACS"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,LTBI incidence - TST,Site,18,18,79,159,0.49686,,,,,,Both,Students,,,,"
TST induration => 10 mm; TST at 1 year follow-up",2010,2010,"
KEMRI ACS"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,LTBI prevalence - IGRA,Site,0,0,25,885,0.02825,,,,,,Both,Trial (clinical),,,,"
0.38 yo is mean age of infection",2010,2012,"
C-029-402"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,LTBI prevalence - IGRA,Site,18,52,322,531,0.6064,,,,,,Both,Trial (clinical),,,,"
33.59 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,LTBI prevalence - IGRA,Site,18,52,184,295,0.62373,,,,,,Male only,Trial (clinical),,,,"
33.59 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,LTBI prevalence - IGRA,Site,18,52,235,397,0.59194,,,,,,Female only,Trial (clinical),,,,"
33.59 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,LTBI prevalence - IGRA,Site,18,22,34,78,0.4359,,,,,,Both,Trial (clinical),,,,"
33.59 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,LTBI prevalence - IGRA,Site,23,27,79,126,0.62698,,,,,,Both,Trial (clinical),,,,"
33.59 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,LTBI prevalence - IGRA,Site,28,32,67,111,0.6036,,,,,,Both,Trial (clinical),,,,"
33.59 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,LTBI prevalence - IGRA,Site,33,37,52,75,0.69333,,,,,,Both,Trial (clinical),,,,"
33.59 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,LTBI prevalence - IGRA,Site,38,42,47,66,0.71212,,,,,,Both,Trial (clinical),,,,"
33.59 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,LTBI prevalence - IGRA,Site,43,47,33,49,0.67347,,,,,,Both,Trial (clinical),,,,"
33.59 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,LTBI prevalence - IGRA,Site,48,52,10,26,0.38462,,,,,,Both,Trial (clinical),,,,"
33.59 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,LTBI prevalence - TST,Site,13,13,256,874,0.29291,,,,,,Both,Community,,,,"
TST => 10 mm",2008,2010,"
Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,LTBI prevalence - TST,Site,14,14,244,824,0.29612,,,,,,Both,Community,,,,"
TST => 10 mm",2008,2010,"
Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,LTBI prevalence - TST,Site,15,15,221,689,0.32075,,,,,,Both,Community,,,,"
TST => 10 mm",2008,2010,"
Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,LTBI prevalence - TST,Site,16,16,260,658,0.39514,,,,,,Both,Community,,,,"

TST => 10 mm",2008,2010,"
Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,LTBI prevalence - TST,Site,17,17,178,449,0.39644,,,,,,Both,Community,,,,"

TST => 10 mm",2008,2010,"
Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,LTBI prevalence - TST,Site,18,18,120,302,0.39735,,,,,,Both,Community,,,,"

TST => 10 mm",2008,2010,"
Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,LTBI prevalence - TST,Site,6,14,877,6452,0.13593,,,,,,Both,Community,,,,"
TST cut-off not provided",2010,2010,"
Kwamanga 2010 Tuberculosis transmission in Kenya: Results of the third National Tuberculin Survey"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,LTBI prevalence - TST,Site,12,18,1544,4808,0.32113,,,,,,Both,Community,,,,"

TST => 10 mm",2008,2010,"
Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,LTBI prevalence - TST,Site,12,12,265,1012,0.26186,,,,,,Both,Community,,,,"

TST => 10 mm",2008,2010,"
Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,TB incidence,Site,12,18,24,5004,0.00401,Percent estimated from pys calculation,,,,,Both,Students,,,,"
5979 pys",2012,2012,"
PQV"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,TB incidence,Site,0,0,8,2900,0.00293,Percent estimated from pys calculation,"Definite (e.g., culture positive)",,,,Both,Trial (epidemiological),,,,"
2727.18 pys",2012,2012,"
NTM presentation/ICS"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,TB incidence,Site,12,18,10,5004,0.00167,Percent estimated from pys calculation,"Definite (e.g., culture positive)",,,,Both,Students,,,,"
5979.03 pys",2012,2012,"
NTM presentation/ACS"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,TB incidence,Site,12,18,12,5004,0.00201,Percent estimated from pys calculation,"Definite (e.g., culture positive)",,,,Both,Students,,,,"
5979 pys",2012,2012,"
PQV"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,TB incidence,Site,0,0,36,2900,0.0132,Percent estimated from pys calculation,"Definite (e.g., culture positive)","Probable (e.g., clinically diagnosed)",,,Both,Trial (epidemiological),,,,"
2727.18 pys",2012,2012,"
NTM presentation/ICS"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,TB incidence,Site,12,18,23,5004,0.00385,Percent estimated from pys calculation,"Definite (e.g., culture positive)","Probable (e.g., clinically diagnosed)",,,Both,Students,,,,"
979.03 pys979.03 pys",2012,2012,"
NTM presentation/ACS"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,TB prevalence,District,0,100,,,0.0044,,,,,,Both,Community,,,,"
Nyanza Province",2012,2012,"
NTM presentation"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,TB prevalence,District,0,100,19325,4392196,0.0044,,,,,,Both,Community,,,,"
20% of all notified TB cases in Kenya",2012,2012,"
NTM presentation"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,TB prevalence,Site,12,18,16,5004,0.0032,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
  ",2008,2010,"
Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,TB prevalence,Site,12,18,34,5004,0.00679,,"Definite (e.g., culture positive)","Probable (e.g., clinically diagnosed)",,,Both,Community,,,,"
",2008,2010,"
Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,TB prevalence,District,12,18,8,2576,0.00311,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,"
  ",2008,2010,"
Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,TB prevalence,Site,12,18,13,2576,0.00505,,"Probable (e.g., clinically diagnosed)",,,,Male only,Community,,,,"
  ",2008,2010,"
Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,TB prevalence,Site,12,18,8,2424,0.0033,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,"
  ",2008,2010,"
Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,TB prevalence,Site,12,18,5,2424,0.00206,,"Probable (e.g., clinically diagnosed)",,,,Female only,Community,,,,"
  ",2008,2010,"
Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs 
"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,TB prevalence,Site,12,12,2,1050,0.0019,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
  ",2008,2010,"
Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs 

"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,TB prevalence,Site,13,13,3,892,0.00336,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
  ",2008,2010,"
Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs 

"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,TB prevalence,Site,14,14,3,847,0.00354,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
  ",2008,2010,"
Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs 

"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,TB prevalence,Site,15,15,4,715,0.00559,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
  ",2008,2010,"
Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs 

"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,TB prevalence,Site,16,16,2,694,0.00288,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
  ",2008,2010,"
Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs 

"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,TB prevalence,Site,17,17,2,482,0.00415,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
  ",2008,2010,"
Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs 

"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,TB prevalence,Site,18,18,0,324,0,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
  ",2008,2010,"
Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs 

"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,TB prevalence,Site,12,12,6,1050,0.00571,,"Definite (e.g., culture positive)","Probable (e.g., clinically diagnosed)",,,Both,Community,,,,"
  ",2008,2010,"
Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs

"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,TB prevalence,Site,13,13,7,892,0.00785,,"Definite (e.g., culture positive)","Probable (e.g., clinically diagnosed)",,,Both,Community,,,,"
  ",2008,2010,"
Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs 

"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,TB prevalence,Site,14,14,5,847,0.0059,,"Definite (e.g., culture positive)","Probable (e.g., clinically diagnosed)",,,Both,Community,,,,"
  ",2008,2010,"
Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs 

"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,TB prevalence,Site,15,15,6,715,0.00839,,"Definite (e.g., culture positive)","Probable (e.g., clinically diagnosed)",,,Both,Community,,,,"
  ",2008,2010,"
Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs 

"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,TB prevalence,Site,16,16,5,694,0.0072,,"Definite (e.g., culture positive)","Probable (e.g., clinically diagnosed)",,,Both,Community,,,,"
  ",2008,2010,"
Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs 

"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,TB prevalence,Site,17,17,4,482,0.0083,,"Definite (e.g., culture positive)","Probable (e.g., clinically diagnosed)",,,Both,Community,,,,"
  ",2008,2010,"
Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs 

"
Kenya Medical Research Institute (KEMRI) (Siaya),Kenya,TB prevalence,Site,18,18,1,324,0.00309,,"Definite (e.g., culture positive)","Probable (e.g., clinically diagnosed)",,,Both,Community,,,,"
  ",2008,2010,"
Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs 

"
KID CRU,South Africa,HIV prevalence,Site,0,0,0,9,0,,,,,,Both,Trial (clinical),,,,"
Cohort 1; age 168-196 days",2015 05 22,2015 05 22,"
C-015-404"
KID CRU,South Africa,HIV prevalence,Site,0,0,0,5,0,,,,,,Both,Trial (clinical),,,,"
Cohort 2; age 168-196 days",2015 05 22,2015 05 22,"
C-015-404"
KID CRU,South Africa,HIV prevalence,Site,0,0,0,8,0,,,,,,Both,Trial (clinical),,,,"
Cohort 3A; age 168-189 days",2015 05 22,2015 05 22,"
C-015-404"
KID CRU,South Africa,HIV prevalence,Site,0,0,0,22,0,,,,,,Both,Trial (clinical),,,,"
Cohort 3B; age 168-189 days",2015 05 22,2015 05 22,"
C-015-404"
KID CRU,South Africa,HIV prevalence,Site,0,0,0,14,0,,,,,,Both,Trial (clinical),,,,"
Cohort 4; age 84-98 days",2015 05 22,2015 05 22,"
C-015-404"
KID CRU,South Africa,HIV prevalence,Site,0,0,0,5,0,,,,,,Both,Trial (clinical),,,,"
Cohort 5; age 84-98 days",2015 07 15,2015 07 15,"
C-015-404"
KID CRU,South Africa,LTBI prevalence - IGRA,Site,0,0,0,9,0,,,,,,Both,Trial (clinical),,,,"
Cohort 1; age 168-196 days",2015 05 22,2015 05 22,"
C-015-404"
KID CRU,South Africa,LTBI prevalence - IGRA,Site,0,0,0,5,0,,,,,,Both,Trial (clinical),,,,"
Cohort 2; age 168-196 days",2015 05 22,2015 05 22,"
C-015-404"
KID CRU,South Africa,LTBI prevalence - IGRA,Site,0,0,0,8,0,,,,,,Both,Trial (clinical),,,,"
Cohort 3A; age 168-189 days",2015 05 22,2015 05 22,"
C-015-404"
KID CRU,South Africa,LTBI prevalence - IGRA,Site,0,0,1,22,0.04545,,,,,,Both,Trial (clinical),,,,"
Cohort 3B; age 168-189 days; no age data to determine mean age of infection",2015 05 22,2015 05 22,"
C-015-404"
KID CRU,South Africa,LTBI prevalence - IGRA,Site,0,0,0,14,0,,,,,,Both,Trial (clinical),,,,"
Cohort 4; age 84-98 days",2015 05 22,2015 05 22,"
C-015-404"
KID CRU,South Africa,LTBI prevalence - IGRA,Site,0,0,0,5,0,,,,,,Both,Trial (clinical),,,,"
Cohort 5; age 84-98 days",2015 07 15,2015 07 15,"
C-015-404"
La Paz,Bolivia (Plurinational State of),TB incidence,District,0,100,887,789585,0.00112,,,,,,Both,Community,,,,"
In La Paz",2012,2012,"
Site data"
La Paz,Bolivia (Plurinational State of),TB incidence,District,0,100,668,896000,0.00075,,,,,,Both,Community,,,,"
In El Alto",2012,2012,"
Site data"
La Paz,Bolivia (Plurinational State of),TB incidence,District,0,100,533,789585,0.00068,,,,,,Male only,Community,,,,"
In La Paz",2012,2012,"
Site data"
La Paz,Bolivia (Plurinational State of),TB incidence,District,0,100,354,789585,0.00045,,,,,,Female only,Community,,,,"
In La Paz",2012,2012,"
Site data"
La Paz,Bolivia (Plurinational State of),TB incidence,District,0,100,318,789585,0.0004,,SS+,,,,Both,Community,,,,"
In La Paz",2012,2012,"
Site data"
La Paz,Bolivia (Plurinational State of),TB incidence,District,0,100,198,789585,0.00025,,SS+,,,,Male only,Community,,,,"
In La Paz",2012,2012,"
Site data"
La Paz,Bolivia (Plurinational State of),TB incidence,District,0,100,120,789585,0.00015,,SS+,,,,Female only,Community,,,,"
In La Paz",2012,2012,"
Site data"
La Paz,Bolivia (Plurinational State of),TB incidence,District,0,100,168,789585,0.00021,,SS-,,,,Both,Community,,,,"
In La Paz",2012,2012,"
Site data"
La Paz,Bolivia (Plurinational State of),TB incidence,District,0,100,100,789585,0.00013,,SS-,,,,Male only,Community,,,,"
In La Paz",2012,2012,"
Site data"
La Paz,Bolivia (Plurinational State of),TB incidence,District,0,100,68,789585,0.00009,,SS-,,,,Female only,Community,,,,"
In La Paz",2012,2012,"
Site data"
La Paz,Bolivia (Plurinational State of),TB incidence,District,0,100,401,789585,0.00051,,EPTB,,,,Both,Community,,,,"
In La Paz",2012,2012,"
Site data"
La Paz,Bolivia (Plurinational State of),TB incidence,District,0,100,166,789585,0.00021,,EPTB,,,,Male only,Community,,,,"
In La Paz",2012,2012,"
Site data"
La Paz,Bolivia (Plurinational State of),TB incidence,District,0,100,235,789585,0.0003,,,,,,Female only,Community,,,,"
In La Paz",2012,2012,"
Site data"
La Paz,Bolivia (Plurinational State of),TB incidence,District,0,100,416,896000,0.00046,,,,,,Male only,Community,,,,"
In El Alto",2012,2012,"
Site data"
La Paz,Bolivia (Plurinational State of),TB incidence,District,0,100,252,896000,0.00028,,,,,,Female only,Community,,,,"
In El Alto",2012,2012,"
Site data"
La Paz,Bolivia (Plurinational State of),TB incidence,District,0,100,400,896000,0.00045,,SS+,,,,Both,Community,,,,"
In El Alto",2012,2012,"
Site data"
La Paz,Bolivia (Plurinational State of),TB incidence,District,0,100,245,896000,0.00027,,SS+,,,,Male only,Community,,,,"
In El Alto",2012,2012,"
Site data"
