Organization_Site,Country,Data_type,Data_level,Age_range_low,Age_range_high,Numerator,Denominator,Percent,Estimates,TB Type,Gender,Population,CDR,Comments,Data_Year_Min,Data_Year_Max,Data_source
Ifakara Health Institute (Bagamoyo),United Republic of Tanzania,TB prevalence,Site,0,100,13,25,0.5200,,"Probable (e.g., clinically diagnosed)",Male only,TB patients (undefined),,"
?46 yo is mean age (no age range reported)",2014,2014,"
Breuninger 2014 Diagnostic accuracy of computer-aided detection of pulmonary tuberculosis in chest radiographs: a validation study from Sub-Saharan Africa?
?"
Ifakara Health Institute (Bagamoyo),United Republic of Tanzania,TB prevalence,Site,0,100,4,5,0.8000,,EPTB,Both,Community,,"
?37 yo is mean age (no age range reported)",2014,2014,"
Breuninger 2014 Diagnostic accuracy of computer-aided detection of pulmonary tuberculosis in chest radiographs: a validation study from Sub-Saharan Africa?
?"
Ifakara Health Institute (Bagamoyo),United Republic of Tanzania,TB prevalence,Site,0,100,1,5,0.2000,,EPTB,Male only,TB patients (undefined),,"
?37 yo is mean age (no age range reported)",2014,2014,"
Breuninger 2014 Diagnostic accuracy of computer-aided detection of pulmonary tuberculosis in chest radiographs: a validation study from Sub-Saharan Africa?
?"
Ifakara Health Institute (Ifakara),United Republic of Tanzania,HIV prevalence,District,0,100,780,"321,000",0.0024,,,Both,Community,,"
In Kilombero district (Ifakara)",2009,2009,"
?IHI visit"
Ifakara Health Institute (Ifakara),United Republic of Tanzania,TB incidence,Site,18,100,,,0.0720,Percent estimated from pys calculation,,Both,HIV+ population,,,2009,2009,"
IHI visit?"
Ifakara Health Institute (Ifakara),United Republic of Tanzania,TB prevalence,Site,0,100,215,"1,591",0.1351,,SS+,Both,Community,,"
  ",2009,2009,"
IHI visit?"
Ifakara Health Institute (Ifakara),United Republic of Tanzania,TB prevalence,Site,0,100,32,739,0.0433,,SS+,Both,Community,,"
  ",2009,2009,"
IHI visit?"
IMPACTA Peru (Barranco),Peru,HIV prevalence,District,15,49,,,0.0030,,,Both,Community,,,2014,2014,"
PQV?"
"Instituto de Medicina Tropical, Alexander von Humboldt, Universidad Peruana Cayetano Heredia",Peru,HIV prevalence,District,15,49,,,0.0020,,,Both,Community,,,2014,2014,"
PQV?"
"Instituto de Medicina Tropical, Alexander von Humboldt, Universidad Peruana Cayetano Heredia",Peru,HIV prevalence,Site,0,100,,,0.0200,,,Both,TB patients (incident cases),,"
  ",2014,2014,"
PQV?"
"Instituto de Medicina Tropical, Alexander von Humboldt, Universidad Peruana Cayetano Heredia",Peru,HIV prevalence,Site,15,100,,,0.0020,,,Female only,ANC screening,,"
?Ranges from 0.2-0.4%",2014,2014,"
PQV??"
"Instituto de Medicina Tropical, Alexander von Humboldt, Universidad Peruana Cayetano Heredia",Peru,LTBI incidence - TST,Site,16,20,,,0.0500,,,Both,High-risk population (healthcare setting);#Students,,"
?Ranges from 5-7% per year; TST cut-off not provided",2014,2014,"
Email?"
"Instituto de Medicina Tropical, Alexander von Humboldt, Universidad Peruana Cayetano Heredia",Peru,LTBI incidence - TST,Site,17,20,601,"4,842",0.1240,,,Both,High-risk population (healthcare setting);#Students,,"
?TST induration =>10mm",2002,2009,"
??Perez-Lu 2013 Tuberculin skin test conversion among health sciences students, A retrospective cohort study"
"Instituto de Medicina Tropical, Alexander von Humboldt, Universidad Peruana Cayetano Heredia",Peru,LTBI prevalence - TST,Site,18,25,,,0.0500,,,Both,High-risk population (healthcare setting);#Students,,"
?Percent ranges from 5-15% at baseline in university; TST cut-off not provided",2014,2014,"
PQV?"
"Instituto de Medicina Tropical, Alexander von Humboldt, Universidad Peruana Cayetano Heredia",Peru,LTBI prevalence - TST,Site,16,20,,,0.1000,,,Both,High-risk population (healthcare setting);#Students,,"
?Percent ranges from 10-20% at baseline in university; TST cut-off not provided",2014,2014,"
Email?"
"Instituto de Medicina Tropical, Alexander von Humboldt, Universidad Peruana Cayetano Heredia",Peru,LTBI prevalence - TST,Site,17,20,49,"4,842",0.0100,Numerator estimated from percent and denominator,,Both,Students,,"
TST induration =>10mm",2002,2009,"
?Perez-Lu 2013 Tuberculin skin test conversion among health sciences students, A retrospective cohort study"
"Instituto de Medicina Tropical, Alexander von Humboldt, Universidad Peruana Cayetano Heredia",Peru,LTBI prevalence - TST,Site,18,25,,,0.2500,,,Both,High-risk population (healthcare setting);#Students,,"
?Percent ranges from 25-30% at year 3-5 of university; TST cut-off not provided",2014,2014,"
?PQV"
"Instituto de Medicina Tropical, Alexander von Humboldt, Universidad Peruana Cayetano Heredia",Peru,LTBI prevalence - TST,Site,18,25,,,0.5000,,,Both,High-risk population (healthcare setting);#Students,,"
?Year 6-7 of university; TST cut-off not provided",2014,2014,"
PQV?"
"Instituto de Medicina Tropical, Alexander von Humboldt, Universidad Peruana Cayetano Heredia",Peru,TB incidence,District,0,100,,,0.0011,,PTB,Both,Community,,"
  ",2014,2014,"
PQV?"
"Instituto de Medicina Tropical, Alexander von Humboldt, Universidad Peruana Cayetano Heredia",Peru,TB incidence,Site,18,87,299,548,0.5456,,PTB,Both,Community,,"
  ",2013,2013,"
PQV?"
Instituto Nacional de Saude (CISPOC),Mozambique,HIV prevalence,District,15,49,,,0.1680,,,Both,Community,,,2009,2009,"
2015 RSS?"
Instituto Nacional de Saude (CISPOC),Mozambique,HIV prevalence,District,15,49,,,0.2990,,,Female only,ANC screening,,,2011,2011,"
??2015 RSS"
Instituto Nacional de Saude (CISPOC),Mozambique,HIV prevalence,District,15,49,,,0.8300,,,Both,TB patients (incident cases),,"
  ",2013,2013,"
2015 RSS?"
Instituto Nacional de Saude (CISPOC),Mozambique,HIV prevalence,District,15,49,,,0.5800,,,Both,TB patients (undefined),,"
  ",2013,2013,"
2015 RSS?"
Instituto Nacional de Saude (CISPOC),Mozambique,TB incidence,District,0,100,,,0.0046,,EPTB;#PTB,Both,Community,,"
  ",2014,2014,"
?2015 RSS"
Instituto Nacional de Saude (CISPOC),Mozambique,TB incidence,Site,0,100,,,0.0059,,EPTB;#PTB,Both,Community,,"
  ",2014,2014,"
2015 RSS?"
Johnson County Clin-Trials,United States of America,HIV prevalence,Site,25,39,0,44,0.0000,,,Both,Trial (clinical),,,2012,2013,"
?IDRI- TBVPX- 113
?"
Johnson County Clin-Trials,United States of America,LTBI prevalence - IGRA,Site,25,39,5,44,0.1136,,,Both,Trial (clinical),,"
?31.83 yo is mean age of infection",2012,2013,"
?IDRI- TBVPX- 113"
JOSHA Research,South Africa,HIV incidence,Site,0,100,,,0.0550,,,Both,Community,,,2012,2012,"
TB018 presentation?"
JOSHA Research,South Africa,HIV incidence,Site,18,100,,,0.1275,,,Both,HIV- population,,,2012,2012,"
TB018 presentation?"
JOSHA Research,South Africa,HIV prevalence,Site,0,100,,,0.2120,,,Both,Community,,,2012,2012,"
TB018 presentation?"
JOSHA Research,South Africa,TB incidence,Site,0,100,"19,600","2,000,000",0.0098,Numerator estimated from percent and denominator,,Both,Community,,"
10% increase in incidence per year",2010,2010,"
TB018 presentation?"
KEMRI (Siaya),Kenya,HIV prevalence,District,0,100,,,0.7500,,,Both,TB patients (notified cases),,"
?In Nyanza",2012,2012,"
NTM presentation?"
KEMRI (Siaya),Kenya,HIV prevalence,Site,12,18,19,"1,235",0.0154,,,Both,Community,,,2012,2012,"
NTM presentation?"
KEMRI (Siaya),Kenya,HIV prevalence,Site,0,0,75,"2,900",0.0259,,,Both,Community,,,2012,2012,"
NTM presentation?/ICS"
KEMRI (Siaya),Kenya,HIV prevalence,District,0,100,"3,294,147","4,392,196",0.7500,,,Both,TB patients (notified cases),,"
  ",2012,2012,"
NTM presentation?"
KEMRI (Siaya),Kenya,HIV prevalence,Site,12,18,19,"1,235",0.0154,,,Both,Community,,,2012,2012,"
??NTM presentation/ACS"
KEMRI (Siaya),Kenya,HIV prevalence,Site,0,0,0,885,0.0000,,,Both,Trial (clinical),,,2010,2012,"
?C-029-402"
KEMRI (Siaya),Kenya,HIV prevalence,Site,18,52,62,531,0.1168,,,Both,Trial (clinical),,,2015 07 01 ,2015 07 01 ,"
?TB018"
KEMRI (Siaya),Kenya,HIV prevalence,Site,18,52,34,295,0.1153,,,Male only,Trial (clinical),,,2015 07 01 ,2015 07 01 ,"
?TB018"
KEMRI (Siaya),Kenya,HIV prevalence,Site,18,52,43,397,0.1083,,,Female only,Trial (clinical),,,2015 07 01 ,2015 07 01 ,"
?TB018"
KEMRI (Siaya),Kenya,HIV prevalence,Site,18,22,4,78,0.0513,,,Both,Trial (clinical),,,2015 07 01 ,2015 07 01 ,"
?TB018"
KEMRI (Siaya),Kenya,HIV prevalence,Site,23,27,16,126,0.1270,,,Both,Trial (clinical),,,2015 07 01 ,2015 07 01 ,"
?TB018"
KEMRI (Siaya),Kenya,HIV prevalence,Site,28,32,18,111,0.1622,,,Both,Trial (clinical),,,2015 07 01 ,2015 07 01 ,"
?TB018"
KEMRI (Siaya),Kenya,HIV prevalence,Site,33,37,7,75,0.0933,,,Both,Trial (clinical),,,2015 07 01 ,2015 07 01 ,"
?TB018"
KEMRI (Siaya),Kenya,HIV prevalence,Site,38,42,10,66,0.1515,,,Both,Trial (clinical),,,2015 07 01 ,2015 07 01 ,"
?TB018"
KEMRI (Siaya),Kenya,HIV prevalence,Site,43,47,5,49,0.1020,,,Both,Trial (clinical),,,2015 07 01 ,2015 07 01 ,"
?TB018"
KEMRI (Siaya),Kenya,HIV prevalence,Site,48,52,2,26,0.0769,,,Both,Trial (clinical),,,2015 07 01 ,2015 07 01 ,"
?TB018"
KEMRI (Siaya),Kenya,LTBI incidence - TST,Site,12,18,"1,671","3,648",0.4581,,,Both,Students,,"
?TST induration => 10 mm; TST at 1 year follow-up",2010,2010,"
?KEMRI ACS"
KEMRI (Siaya),Kenya,LTBI incidence - TST,Site,12,12,351,868,0.4044,,,Both,Students,,"
?TST induration => 10mm; TST at 1 year follow-up",2010,2010,"
KEMRI ACS?"
KEMRI (Siaya),Kenya,LTBI incidence - TST,Site,13,13,309,734,0.4210,,,Both,Students,,"
?TST induration => 10 mm; TST at 1 year follow-up",2010,2010,"
KEMRI ACS?"
KEMRI (Siaya),Kenya,LTBI incidence - TST,Site,14,14,295,659,0.4477,,,Both,Students,,"
?TST induration => 10 mm; TST at 1 year follow-up",2010,2010,"
KEMRI ACS?"
KEMRI (Siaya),Kenya,LTBI incidence - TST,Site,15,15,273,514,0.5311,,,Both,Students,,"
?TST induration => 10 mm; TST at 1 year follow-up",2010,2010,"
KEMRI ACS?"
KEMRI (Siaya),Kenya,LTBI incidence - TST,Site,16,16,219,434,0.5046,,,Both,Students,,"
?TST induration => 10 mm; TST at 1 year follow-up",2010,2010,"
KEMRI ACS?"
KEMRI (Siaya),Kenya,LTBI incidence - TST,Site,17,17,145,280,0.5179,,,Both,Students,,"
TST induration => 10 mm; ?TST at 1 year follow-up",2010,2010,"
KEMRI ACS?"
KEMRI (Siaya),Kenya,LTBI incidence - TST,Site,18,18,79,159,0.4969,,,Both,Students,,"
?TST induration => 10 mm; TST at 1 year follow-up",2010,2010,"
KEMRI ACS?"
KEMRI (Siaya),Kenya,LTBI prevalence - IGRA,Site,0,0,25,885,0.0283,,,Both,Trial (clinical),,"
?0.38 yo is mean age of infection",2010,2012,"
?C-029-402"
KEMRI (Siaya),Kenya,LTBI prevalence - IGRA,Site,18,52,322,531,0.6064,,,Both,Trial (clinical),,"
?33.59 yo is mean age of infection",2015 07 01 ,2015 07 01 ,"
?TB018"
KEMRI (Siaya),Kenya,LTBI prevalence - IGRA,Site,18,52,184,295,0.6237,,,Male only,Trial (clinical),,"
?33.59 yo is mean age of infection",2015 07 01 ,2015 07 01 ,"
?TB018"
KEMRI (Siaya),Kenya,LTBI prevalence - IGRA,Site,18,52,235,397,0.5919,,,Female only,Trial (clinical),,"
?33.59 yo is mean age of infection",2015 07 01 ,2015 07 01 ,"
?TB018"
KEMRI (Siaya),Kenya,LTBI prevalence - IGRA,Site,18,22,34,78,0.4359,,,Both,Trial (clinical),,"
?33.59 yo is mean age of infection",2015 07 01 ,2015 07 01 ,"
?TB018"
KEMRI (Siaya),Kenya,LTBI prevalence - IGRA,Site,23,27,79,126,0.6270,,,Both,Trial (clinical),,"
?33.59 yo is mean age of infection",2015 07 01 ,2015 07 01 ,"
?TB018"
KEMRI (Siaya),Kenya,LTBI prevalence - IGRA,Site,28,32,67,111,0.6036,,,Both,Trial (clinical),,"
?33.59 yo is mean age of infection",2015 07 01 ,2015 07 01 ,"
?TB018"
KEMRI (Siaya),Kenya,LTBI prevalence - IGRA,Site,33,37,52,75,0.6933,,,Both,Trial (clinical),,"
?33.59 yo is mean age of infection",2015 07 01 ,2015 07 01 ,"
?TB018"
KEMRI (Siaya),Kenya,LTBI prevalence - IGRA,Site,38,42,47,66,0.7121,,,Both,Trial (clinical),,"
?33.59 yo is mean age of infection",2015 07 01 ,2015 07 01 ,"
?TB018"
KEMRI (Siaya),Kenya,LTBI prevalence - IGRA,Site,43,47,33,49,0.6735,,,Both,Trial (clinical),,"
?33.59 yo is mean age of infection",2015 07 01 ,2015 07 01 ,"
?TB018"
KEMRI (Siaya),Kenya,LTBI prevalence - IGRA,Site,48,52,10,26,0.3846,,,Both,Trial (clinical),,"
?33.59 yo is mean age of infection",2015 07 01 ,2015 07 01 ,"
?TB018"
KEMRI (Siaya),Kenya,LTBI prevalence - TST,Site,13,13,256,874,0.2929,,,Both,Community,,"
TST => 10 mm",2008,2010,"
?Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs"
KEMRI (Siaya),Kenya,LTBI prevalence - TST,Site,14,14,244,824,0.2961,,,Both,Community,,"
?TST => 10 mm",2008,2010,"
?Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs"
KEMRI (Siaya),Kenya,LTBI prevalence - TST,Site,15,15,221,689,0.3208,,,Both,Community,,"
TST => 10 mm",2008,2010,"
?Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs"
KEMRI (Siaya),Kenya,LTBI prevalence - TST,Site,16,16,260,658,0.3951,,,Both,Community,,"

TST => 10 mm ",2008,2010,"
?Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs"
KEMRI (Siaya),Kenya,LTBI prevalence - TST,Site,17,17,178,449,0.3964,,,Both,Community,,"

TST => 10 mm ",2008,2010,"
?Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs"
KEMRI (Siaya),Kenya,LTBI prevalence - TST,Site,18,18,120,302,0.3974,,,Both,Community,,"

TST => 10 mm ",2008,2010,"
?Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs"
KEMRI (Siaya),Kenya,LTBI prevalence - TST,Site,6,14,877,"6,452",0.1359,,,Both,Community,,"
?TST cut-off not provided",2010,2010,"
Kwamanga 2010 Tuberculosis transmission in Kenya: Results of the third National Tuberculin Survey"
KEMRI (Siaya),Kenya,LTBI prevalence - TST,Site,12,18,"1,544","4,808",0.3211,,,Both,Community,,"

TST => 10 mm ",2008,2010,"
?Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs"
KEMRI (Siaya),Kenya,LTBI prevalence - TST,Site,12,12,265,"1,012",0.2619,,,Both,Community,,"

TST => 10 mm ",2008,2010,"
Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs"
KEMRI (Siaya),Kenya,TB incidence,Site,12,18,24,"5,004",0.0040,Percent estimated from pys calculation,,Both,Students,,"
5979 pys",2012,2012,"
PQV"
KEMRI (Siaya),Kenya,TB incidence,Site,0,0,8,"2,900",0.0029,Percent estimated from pys calculation,"Definite (e.g., culture positive)",Both,Trial (epidemiological),,"
2727.18 pys",2012,2012,"
NTM presentation?/ICS"
KEMRI (Siaya),Kenya,TB incidence,Site,12,18,10,"5,004",0.0017,Percent estimated from pys calculation,"Definite (e.g., culture positive)",Both,Students,,"
5979.03 pys",2012,2012,"
NTM presentation/ACS?"
KEMRI (Siaya),Kenya,TB incidence,Site,12,18,12,"5,004",0.0020,Percent estimated from pys calculation,"Definite (e.g., culture positive)",Both,Students,,"
5979 pys",2012,2012,"
?PQV"
KEMRI (Siaya),Kenya,TB incidence,Site,0,0,36,"2,900",0.0132,Percent estimated from pys calculation,"Definite (e.g., culture positive);#Probable (e.g., clinically diagnosed)",Both,Trial (epidemiological),,"
2727.18 pys",2012,2012,"
NTM presentation/ICS?"
KEMRI (Siaya),Kenya,TB incidence,Site,12,18,23,"5,004",0.0039,Percent estimated from pys calculation,"Definite (e.g., culture positive);#Probable (e.g., clinically diagnosed)",Both,Students,,"
979.03 pys979.03 pys",2012,2012,"
NTM presentation/ACS?"
KEMRI (Siaya),Kenya,TB prevalence,District,0,100,,,0.0044,,,Both,Community,,"
Nyanza Province?",2012,2012,"
NTM presentation?"
KEMRI (Siaya),Kenya,TB prevalence,District,0,100,"19,325","4,392,196",0.0044,,,Both,Community,,"
20% of all notified TB cases in Kenya?",2012,2012,"
NTM presentation?"
KEMRI (Siaya),Kenya,TB prevalence,Site,12,18,16,"5,004",0.0032,,"Definite (e.g., culture positive)",Both,Community,,"
  ",2008,2010,"
?Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs"
KEMRI (Siaya),Kenya,TB prevalence,Site,12,18,34,"5,004",0.0068,,"Definite (e.g., culture positive);#Probable (e.g., clinically diagnosed)",Both,Community,,"
?",2008,2010,"
?Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs"
KEMRI (Siaya),Kenya,TB prevalence,District,12,18,8,"2,576",0.0031,,"Definite (e.g., culture positive)",Male only,Community,,"
  ",2008,2010,"
?Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs"
KEMRI (Siaya),Kenya,TB prevalence,Site,12,18,13,"2,576",0.0051,,"Probable (e.g., clinically diagnosed)",Male only,Community,,"
  ",2008,2010,"
Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs"
KEMRI (Siaya),Kenya,TB prevalence,Site,12,18,8,"2,424",0.0033,,"Definite (e.g., culture positive)",Female only,Community,,"
  ",2008,2010,"
?Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs"
KEMRI (Siaya),Kenya,TB prevalence,Site,12,18,5,"2,424",0.0021,,"Probable (e.g., clinically diagnosed)",Female only,Community,,"
  ",2008,2010,"
?Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs 
?"
KEMRI (Siaya),Kenya,TB prevalence,Site,12,12,2,"1,050",0.0019,,"Definite (e.g., culture positive)",Both,Community,,"
  ",2008,2010,"
?Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs 
?
?"
KEMRI (Siaya),Kenya,TB prevalence,Site,13,13,3,892,0.0034,,"Definite (e.g., culture positive)",Both,Community,,"
  ",2008,2010,"
?Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs 
?
?"
KEMRI (Siaya),Kenya,TB prevalence,Site,14,14,3,847,0.0035,,"Definite (e.g., culture positive)",Both,Community,,"
  ",2008,2010,"
?Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs 
?
?"
KEMRI (Siaya),Kenya,TB prevalence,Site,15,15,4,715,0.0056,,"Definite (e.g., culture positive)",Both,Community,,"
  ",2008,2010,"
?Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs 
?
?"
KEMRI (Siaya),Kenya,TB prevalence,Site,16,16,2,694,0.0029,,"Definite (e.g., culture positive)",Both,Community,,"
  ",2008,2010,"
?Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs 
?
?"
KEMRI (Siaya),Kenya,TB prevalence,Site,17,17,2,482,0.0042,,"Definite (e.g., culture positive)",Both,Community,,"
  ",2008,2010,"
?Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs 
?
?"
KEMRI (Siaya),Kenya,TB prevalence,Site,18,18,0,324,0.0000,,"Definite (e.g., culture positive)",Both,Community,,"
  ",2008,2010,"
?Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs 
?
?"
KEMRI (Siaya),Kenya,TB prevalence,Site,12,12,6,"1,050",0.0057,,"Definite (e.g., culture positive);#Probable (e.g., clinically diagnosed)",Both,Community,,"
  ",2008,2010,"
?Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs

?"
KEMRI (Siaya),Kenya,TB prevalence,Site,13,13,7,892,0.0079,,"Definite (e.g., culture positive);#Probable (e.g., clinically diagnosed)",Both,Community,,"
  ",2008,2010,"
?Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs 
?
?"
KEMRI (Siaya),Kenya,TB prevalence,Site,14,14,5,847,0.0059,,"Definite (e.g., culture positive);#Probable (e.g., clinically diagnosed)",Both,Community,,"
  ",2008,2010,"
?Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs 
?
?"
KEMRI (Siaya),Kenya,TB prevalence,Site,15,15,6,715,0.0084,,"Definite (e.g., culture positive);#Probable (e.g., clinically diagnosed)",Both,Community,,"
  ",2008,2010,"
?Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs 
?
?"
KEMRI (Siaya),Kenya,TB prevalence,Site,16,16,5,694,0.0072,,"Definite (e.g., culture positive);#Probable (e.g., clinically diagnosed)",Both,Community,,"
  ",2008,2010,"
?Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs 
?
?"
KEMRI (Siaya),Kenya,TB prevalence,Site,17,17,4,482,0.0083,,"Definite (e.g., culture positive);#Probable (e.g., clinically diagnosed)",Both,Community,,"
  ",2008,2010,"
?Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs 
?
?"
KEMRI (Siaya),Kenya,TB prevalence,Site,18,18,1,324,0.0031,,"Definite (e.g., culture positive);#Probable (e.g., clinically diagnosed)",Both,Community,,"
  ",2008,2010,"
?Nduba 2015 Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs 
?
?"
KEMRI (WRP Kericho),Kenya,HIV incidence,Site,0,100,19,500,0.0366,Percent estimated from pys calculation,,Both,High-risk population (sex workers),,"
  ",2012,2012,"
TB018 presentation?"
KEMRI (WRP Kericho),Kenya,HIV incidence,District,15,100,,,0.0470,,,Both,Community,,,2007,2007,"
2012 TB018 presentation?"
KEMRI (WRP Kericho),Kenya,HIV incidence,Site,0,100,,,0.0100,,,Both,Trial (clinical),,"
?Percent ranges from 1.0-1.4% in RV142 tea plantation cohort",2003,2006,"
2012 TB018 presentation?"
KEMRI (WRP Kericho),Kenya,HIV prevalence,Site,0,100,,,0.1400,,,Both,Trial (clinical),,"
?RV142 tea plantation cohort",2003,2006,"
2012 TB018 presentation?"
KEMRI (WRP Kericho),Kenya,HIV prevalence,District,15,49,,,0.0470,,,Both,Community,,,2012,2012,"
PQV?"
KEMRI (WRP Kericho),Kenya,HIV prevalence,Site,0,100,,,0.3200,,,Both,TB patients (incident cases),,"
  ",2012,2012,"
PQV?"
KEMRI (WRP Kericho),Kenya,HIV prevalence,Site,15,100,,,0.0500,,,Female only,ANC screening,,,2012,2012,"
PQV?"
KEMRI (WRP Kericho),Kenya,HIV prevalence,District,0,100,,,0.0470,,,Both,Community,,"
?In Rift Valley Province",2012,2012,"
TB018 presentation?"
KEMRI (WRP Kericho),Kenya,HIV prevalence,Site,0,100,145,500,0.2900,Numerator estimated from percent and denominator,,Both,High-risk population (sex workers),,"
?",2012,2012,"
TB018 presentation?"
KEMRI (WRP Kericho),Kenya,LTBI prevalence - TST,Site,6,14,475,"5,216",0.0910,Numerator estimated from percent and denominator,,Both,Community,,"
 TST cut-off not provided  ",2010,2010,"
?Kwamanga 2010 Tuberculosis transmission in Kenya: Results of the third National Tuberculin Survey"
KEMRI (WRP Kericho),Kenya,TB incidence,District,0,100,"1,352","378,157",0.0036,,,Both,Community,84%,"
  ",2009,2009,"
?2012 TB018 presentation"
KEMRI (WRP Kericho),Kenya,TB incidence,District,0,100,"1,078","388,109",0.0028,,,Both,Community,82%,"
  ",2010,2010,"
?2012 TB018 presentation"
KEMRI (WRP Kericho),Kenya,TB incidence,District,0,100,"1,017","398,322",0.0026,,,Both,Community,82%,"
  ",2011,2011,"
?2012 TB018 presentation"
KEMRI (WRP Kericho),Kenya,TB incidence,District,15,100,"1,199","189,079",0.0063,,,Both,Community,84%,"
  ",2009,2009,"
?2012 TB018 presentation"
KEMRI (WRP Kericho),Kenya,TB incidence,District,15,100,922,"194,054",0.0048,,,Both,Community,82%,"
?",2010,2010,"
?2012 TB018 presentation"
KEMRI (WRP Kericho),Kenya,TB incidence,District,15,100,886,"199,161",0.0045,,,Both,Community,82%,"
  ",2011,2011,"
?2012 TB018 presentation"
KEMRI (WRP Kericho),Kenya,TB incidence,District,0,100,"173,953","378,157",0.4600,Numerator estimated from percent and denominator,,Both,TB patients (undefined),84%,"
  ",2009,2009,"
?2012 TB018 presentation"
KEMRI (WRP Kericho),Kenya,TB incidence,District,0,100,"190,174","388,109",0.4900,Numerator estimated from percent and denominator,,Both,TB patients (undefined),82%,"
  ",2010,2010,"
2012 TB018 presentation?"
KEMRI (WRP Kericho),Kenya,TB incidence,District,0,100,"159,329","398,322",0.4000,Numerator estimated from percent and denominator,,Both,TB patients (undefined),82%,"
  ",2011,2011,"
2012 TB018 presentation?"
KEMRI (WRP Kericho),Kenya,TB incidence,District,15,100,"1,427","189,079",0.0076,,,Both,Community,84%,"
  ",2009,2009,"
2012 TB018 presentation?"
KEMRI (WRP Kericho),Kenya,TB incidence,District,15,100,657,"8,887",0.0739,,,Both,HIV+ population,84%,"
  ",2009,2009,"
2012 TB018 presentation?"
KEMRI (WRP Kericho),Kenya,TB incidence,District,15,100,771,"180,192",0.0043,,,Both,HIV- population,84%,"
  ",2009,2009,"
2012 TB018 presentation?"
KEMRI (WRP Kericho),Kenya,TB incidence,District,15,100,"1,210","194,054",0.0062,,,Both,Community,82%,"
  ",2010,2010,"
2012 TB018 presentation?"
KEMRI (WRP Kericho),Kenya,TB incidence,District,15,100,593,"9,121",0.0650,,,Both,HIV+ population,82%,"
  ",2010,2010,"
?2012 TB018 presentation"
KEMRI (WRP Kericho),Kenya,TB incidence,District,15,100,617,"184,934",0.0033,,,Both,HIV- population,82%,"
  ",2010,2010,"
2012 TB018 presentation?"
KEMRI (WRP Kericho),Kenya,TB incidence,District,15,100,"1,080","199,161",0.0054,,,Both,Community,82%,"
  ",2011,2011,"
2012 TB018 presentation?"
KEMRI (WRP Kericho),Kenya,TB incidence,District,15,100,435,"9,361",0.0465,,,Both,HIV+ population,82%,"
  ",2011,2011,"
2012 TB018 presentation?"
KEMRI (WRP Kericho),Kenya,TB incidence,District,15,100,645,"189,800",0.0034,,,Both,HIV- population,82%,"
  ",2011,2011,"
2012 TB018 presentation?"
KID CRU,South Africa,HIV prevalence,Site,0,0,0,9,0.0000,,,Both,Trial (clinical),,"
?Cohort 1; age 168-196 days",2015 05 22,2015 05 22,"
?C-015-404"
KID CRU,South Africa,HIV prevalence,Site,0,0,0,5,0.0000,,,Both,Trial (clinical),,"
?Cohort 2; age 168-196 days",2015 05 22,2015 05 22,"
?C-015-404"
KID CRU,South Africa,HIV prevalence,Site,0,0,0,8,0.0000,,,Both,Trial (clinical),,"
?Cohort 3A; age 168-189 days",2015 05 22,2015 05 22,"
?C-015-404"
KID CRU,South Africa,HIV prevalence,Site,0,0,0,22,0.0000,,,Both,Trial (clinical),,"
?Cohort 3B; age 168-189 days",2015 05 22,2015 05 22,"
?C-015-404"
